word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,1.0,7.0,4047.0,175506.0,2.47097,0.39885,6.19528,0.16141,8.0,179553.0,0.44555,silva_marina
abençoando,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
abençoe,1.0,4.0,4047.0,175506.0,2.47097,0.22791,10.84173,0.09224,5.0,179553.0,0.27847,silva_marina
abertura,3.0,57.0,4047.0,175506.0,7.4129,3.24775,2.28247,0.43812,60.0,179553.0,3.34163,silva_marina
abrir,2.0,38.0,4047.0,175506.0,4.94193,2.16517,2.28247,0.43812,40.0,179553.0,2.22775,silva_marina
absurdo,1.0,57.0,4047.0,175506.0,2.47097,3.24775,0.76082,1.31437,58.0,179553.0,3.23024,silva_marina
abuso,2.0,6.0,4047.0,175506.0,4.94193,0.34187,14.45565,0.06918,8.0,179553.0,0.44555,silva_marina
abusos,1.0,10.0,4047.0,175506.0,2.47097,0.56978,4.33669,0.23059,11.0,179553.0,0.61263,silva_marina
ac,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
acaba,1.0,120.0,4047.0,175506.0,2.47097,6.83737,0.36139,2.76708,121.0,179553.0,6.73896,silva_marina
acabam,1.0,12.0,4047.0,175506.0,2.47097,0.68374,3.61391,0.27671,13.0,179553.0,0.72402,silva_marina
acabar,3.0,138.0,4047.0,175506.0,7.4129,7.86298,0.94276,1.06072,141.0,179553.0,7.85283,silva_marina
aceitam,1.0,8.0,4047.0,175506.0,2.47097,0.45582,5.42087,0.18447,9.0,179553.0,0.50124,silva_marina
aceitar,1.0,23.0,4047.0,175506.0,2.47097,1.3105,1.88552,0.53036,24.0,179553.0,1.33665,silva_marina
acho,3.0,71.0,4047.0,175506.0,7.4129,4.04545,1.83241,0.54573,74.0,179553.0,4.12135,silva_marina
acidente,1.0,5.0,4047.0,175506.0,2.47097,0.28489,8.67339,0.1153,6.0,179553.0,0.33416,silva_marina
acima,3.0,59.0,4047.0,175506.0,7.4129,3.36171,2.2051,0.45349,62.0,179553.0,3.45302,silva_marina
acompanha,1.0,19.0,4047.0,175506.0,2.47097,1.08258,2.28247,0.43812,20.0,179553.0,1.11388,silva_marina
acompanhe,3.0,186.0,4047.0,175506.0,7.4129,10.59793,0.69947,1.42966,189.0,179553.0,10.52614,silva_marina
acompanhem,1.0,35.0,4047.0,175506.0,2.47097,1.99423,1.23906,0.80707,36.0,179553.0,2.00498,silva_marina
acompanho,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
acontecer,1.0,21.0,4047.0,175506.0,2.47097,1.19654,2.06509,0.48424,22.0,179553.0,1.22526,silva_marina
aconteceu,3.0,30.0,4047.0,175506.0,7.4129,1.70934,4.33669,0.23059,33.0,179553.0,1.8379,silva_marina
acontecimento,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
acordo,3.0,59.0,4047.0,175506.0,7.4129,3.36171,2.2051,0.45349,62.0,179553.0,3.45302,silva_marina
acre,1.0,4.0,4047.0,175506.0,2.47097,0.22791,10.84173,0.09224,5.0,179553.0,0.27847,silva_marina
acreditar,1.0,25.0,4047.0,175506.0,2.47097,1.42445,1.73468,0.57648,26.0,179553.0,1.44804,silva_marina
acredito,3.0,68.0,4047.0,175506.0,7.4129,3.87451,1.91325,0.52267,71.0,179553.0,3.95426,silva_marina
acusações,1.0,14.0,4047.0,175506.0,2.47097,0.79769,3.09764,0.32283,15.0,179553.0,0.83541,silva_marina
adversário,1.0,17.0,4047.0,175506.0,2.47097,0.96863,2.551,0.392,18.0,179553.0,1.00249,silva_marina
adversários,1.0,26.0,4047.0,175506.0,2.47097,1.48143,1.66796,0.59954,27.0,179553.0,1.50373,silva_marina
advogado,1.0,20.0,4047.0,175506.0,2.47097,1.13956,2.16835,0.46118,21.0,179553.0,1.16957,silva_marina
afastamento,2.0,10.0,4047.0,175506.0,4.94193,0.56978,8.67339,0.1153,12.0,179553.0,0.66833,silva_marina
afastar,1.0,7.0,4047.0,175506.0,2.47097,0.39885,6.19528,0.16141,8.0,179553.0,0.44555,silva_marina
afinal,1.0,10.0,4047.0,175506.0,2.47097,0.56978,4.33669,0.23059,11.0,179553.0,0.61263,silva_marina
afronta,1.0,6.0,4047.0,175506.0,2.47097,0.34187,7.22782,0.13835,7.0,179553.0,0.38986,silva_marina
age,1.0,6.0,4047.0,175506.0,2.47097,0.34187,7.22782,0.13835,7.0,179553.0,0.38986,silva_marina
agenda,2.0,70.0,4047.0,175506.0,4.94193,3.98847,1.23906,0.80707,72.0,179553.0,4.00996,silva_marina
agindo,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
agora,11.0,557.0,4047.0,175506.0,27.18063,31.73681,0.85644,1.16763,568.0,179553.0,31.63411,silva_marina
agradeço,5.0,93.0,4047.0,175506.0,12.35483,5.29896,2.33156,0.4289,98.0,179553.0,5.458,silva_marina
agradável,2.0,3.0,4047.0,175506.0,4.94193,0.17093,28.91129,0.03459,5.0,179553.0,0.27847,silva_marina
agressão,1.0,4.0,4047.0,175506.0,2.47097,0.22791,10.84173,0.09224,5.0,179553.0,0.27847,silva_marina
ainda,3.0,374.0,4047.0,175506.0,7.4129,21.30981,0.34786,2.87469,377.0,179553.0,20.99659,silva_marina
ajudando,3.0,10.0,4047.0,175506.0,7.4129,0.56978,13.01008,0.07686,13.0,179553.0,0.72402,silva_marina
ajudar,2.0,53.0,4047.0,175506.0,4.94193,3.01984,1.63649,0.61106,55.0,179553.0,3.06316,silva_marina
ajudaram,1.0,5.0,4047.0,175506.0,2.47097,0.28489,8.67339,0.1153,6.0,179553.0,0.33416,silva_marina
alcance,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
alcançadas,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
alckmin,1.0,29.0,4047.0,175506.0,2.47097,1.65237,1.49541,0.66871,30.0,179553.0,1.67082,silva_marina
alegria,3.0,33.0,4047.0,175506.0,7.4129,1.88028,3.94245,0.25365,36.0,179553.0,2.00498,silva_marina
algo,2.0,42.0,4047.0,175506.0,4.94193,2.39308,2.06509,0.48424,44.0,179553.0,2.45053,silva_marina
algum,1.0,28.0,4047.0,175506.0,2.47097,1.59539,1.54882,0.64565,29.0,179553.0,1.61512,silva_marina
algumas,3.0,48.0,4047.0,175506.0,7.4129,2.73495,2.71043,0.36894,51.0,179553.0,2.84039,silva_marina
alguém,1.0,84.0,4047.0,175506.0,2.47097,4.78616,0.51627,1.93696,85.0,179553.0,4.73398,silva_marina
aliados,2.0,24.0,4047.0,175506.0,4.94193,1.36747,3.61391,0.27671,26.0,179553.0,1.44804,silva_marina
alta,2.0,48.0,4047.0,175506.0,4.94193,2.73495,1.80696,0.55342,50.0,179553.0,2.78469,silva_marina
alternativa,1.0,11.0,4047.0,175506.0,2.47097,0.62676,3.94245,0.25365,12.0,179553.0,0.66833,silva_marina
altura,1.0,7.0,4047.0,175506.0,2.47097,0.39885,6.19528,0.16141,8.0,179553.0,0.44555,silva_marina
alunos,2.0,56.0,4047.0,175506.0,4.94193,3.19077,1.54882,0.64565,58.0,179553.0,3.23024,silva_marina
alvo,1.0,9.0,4047.0,175506.0,2.47097,0.5128,4.81855,0.20753,10.0,179553.0,0.55694,silva_marina
além,3.0,129.0,4047.0,175506.0,7.4129,7.35018,1.00853,0.99154,132.0,179553.0,7.35159,silva_marina
amanhã,7.0,101.0,4047.0,175506.0,17.29676,5.75479,3.00563,0.33271,108.0,179553.0,6.01494,silva_marina
amazônia,4.0,19.0,4047.0,175506.0,9.88386,1.08258,9.12988,0.10953,23.0,179553.0,1.28096,silva_marina
amazônica,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
ambientais,3.0,6.0,4047.0,175506.0,7.4129,0.34187,21.68347,0.04612,9.0,179553.0,0.50124,silva_marina
ambiental,3.0,8.0,4047.0,175506.0,7.4129,0.45582,16.2626,0.06149,11.0,179553.0,0.61263,silva_marina
ambiente,5.0,43.0,4047.0,175506.0,12.35483,2.45006,5.04267,0.19831,48.0,179553.0,2.67331,silva_marina
ameaças,2.0,18.0,4047.0,175506.0,4.94193,1.02561,4.81855,0.20753,20.0,179553.0,1.11388,silva_marina
amigo,4.0,63.0,4047.0,175506.0,9.88386,3.58962,2.75346,0.36318,67.0,179553.0,3.73149,silva_marina
amigos,1.0,99.0,4047.0,175506.0,2.47097,5.64083,0.43805,2.28285,100.0,179553.0,5.56939,silva_marina
amor,5.0,44.0,4047.0,175506.0,12.35483,2.50704,4.92806,0.20292,49.0,179553.0,2.729,silva_marina
amorim,1.0,8.0,4047.0,175506.0,2.47097,0.45582,5.42087,0.18447,9.0,179553.0,0.50124,silva_marina
amoroso,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
amparo,2.0,1.0,4047.0,175506.0,4.94193,0.05698,86.73388,0.01153,3.0,179553.0,0.16708,silva_marina
ampliação,1.0,11.0,4047.0,175506.0,2.47097,0.62676,3.94245,0.25365,12.0,179553.0,0.66833,silva_marina
américa,1.0,64.0,4047.0,175506.0,2.47097,3.6466,0.67761,1.47578,65.0,179553.0,3.6201,silva_marina
and,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
andré,1.0,15.0,4047.0,175506.0,2.47097,0.85467,2.89113,0.34589,16.0,179553.0,0.8911,silva_marina
aniquilar,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
aniversário,2.0,39.0,4047.0,175506.0,4.94193,2.22215,2.22395,0.44965,41.0,179553.0,2.28345,silva_marina
ano,8.0,331.0,4047.0,175506.0,19.76773,18.85975,1.04814,0.95407,339.0,179553.0,18.88022,silva_marina
anos,11.0,555.0,4047.0,175506.0,27.18063,31.62285,0.85952,1.16343,566.0,179553.0,31.52273,silva_marina
antecipada,1.0,2.0,4047.0,175506.0,2.47097,0.11396,21.68347,0.04612,3.0,179553.0,0.16708,silva_marina
antes,3.0,89.0,4047.0,175506.0,7.4129,5.07105,1.46181,0.68408,92.0,179553.0,5.12384,silva_marina
antiético,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
anuncia,1.0,16.0,4047.0,175506.0,2.47097,0.91165,2.71043,0.36894,17.0,179553.0,0.9468,silva_marina
apagão,6.0,3.0,4047.0,175506.0,14.8258,0.17093,86.73388,0.01153,9.0,179553.0,0.50124,silva_marina
apenas,3.0,221.0,4047.0,175506.0,7.4129,12.59216,0.58869,1.69868,224.0,179553.0,12.47543,silva_marina
apesar,1.0,38.0,4047.0,175506.0,2.47097,2.16517,1.14124,0.87624,39.0,179553.0,2.17206,silva_marina
apetite,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
aplicada,2.0,2.0,4047.0,175506.0,4.94193,0.11396,43.36694,0.02306,4.0,179553.0,0.22278,silva_marina
aplicação,2.0,11.0,4047.0,175506.0,4.94193,0.62676,7.8849,0.12682,13.0,179553.0,0.72402,silva_marina
apoio,2.0,292.0,4047.0,175506.0,4.94193,16.63761,0.29703,3.36662,294.0,179553.0,16.374,silva_marina
aprendem,2.0,2.0,4047.0,175506.0,4.94193,0.11396,43.36694,0.02306,4.0,179553.0,0.22278,silva_marina
aprendendo,1.0,2.0,4047.0,175506.0,2.47097,0.11396,21.68347,0.04612,3.0,179553.0,0.16708,silva_marina
aprender,1.0,15.0,4047.0,175506.0,2.47097,0.85467,2.89113,0.34589,16.0,179553.0,0.8911,silva_marina
aprendi,2.0,12.0,4047.0,175506.0,4.94193,0.68374,7.22782,0.13835,14.0,179553.0,0.77971,silva_marina
aprendido,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
apresentada,1.0,8.0,4047.0,175506.0,2.47097,0.45582,5.42087,0.18447,9.0,179553.0,0.50124,silva_marina
apresentadas,1.0,5.0,4047.0,175506.0,2.47097,0.28489,8.67339,0.1153,6.0,179553.0,0.33416,silva_marina
apresentar,1.0,38.0,4047.0,175506.0,2.47097,2.16517,1.14124,0.87624,39.0,179553.0,2.17206,silva_marina
apresentou,1.0,21.0,4047.0,175506.0,2.47097,1.19654,2.06509,0.48424,22.0,179553.0,1.22526,silva_marina
aproveitando,1.0,5.0,4047.0,175506.0,2.47097,0.28489,8.67339,0.1153,6.0,179553.0,0.33416,silva_marina
apuradas,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
após,1.0,153.0,4047.0,175506.0,2.47097,8.71765,0.28344,3.52803,154.0,179553.0,8.57685,silva_marina
aqui,6.0,368.0,4047.0,175506.0,14.8258,20.96794,0.70707,1.41429,374.0,179553.0,20.8295,silva_marina
argumentar,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
arte,4.0,21.0,4047.0,175506.0,9.88386,1.19654,8.26037,0.12106,25.0,179553.0,1.39235,silva_marina
artigo,4.0,79.0,4047.0,175506.0,9.88386,4.50127,2.19579,0.45542,83.0,179553.0,4.62259,silva_marina
aspiração,1.0,2.0,4047.0,175506.0,2.47097,0.11396,21.68347,0.04612,3.0,179553.0,0.16708,silva_marina
assalto,1.0,10.0,4047.0,175506.0,2.47097,0.56978,4.33669,0.23059,11.0,179553.0,0.61263,silva_marina
assassinato,2.0,10.0,4047.0,175506.0,4.94193,0.56978,8.67339,0.1153,12.0,179553.0,0.66833,silva_marina
assinamos,1.0,19.0,4047.0,175506.0,2.47097,1.08258,2.28247,0.43812,20.0,179553.0,1.11388,silva_marina
assinaram,1.0,3.0,4047.0,175506.0,2.47097,0.17093,14.45565,0.06918,4.0,179553.0,0.22278,silva_marina
assine,1.0,1.0,4047.0,175506.0,2.47097,0.05698,43.36694,0.02306,2.0,179553.0,0.11139,silva_marina
assinou,1.0,6.0,4047.0,175506.0,2.47097,0.34187,7.22782,0.13835,7.0,179553.0,0.38986,silva_marina
